step,x,y,r,phi
139,-122.492,-20.2426,124.153,-2.97782
140,-122.006,-20.3868,123.698,-2.97603
141,-121.521,-20.531,123.243,-2.97422
142,-121.035,-20.6752,122.789,-2.97241
143,-120.55,-20.8194,122.334,-2.97058
144,-120.064,-20.9635,121.881,-2.96873
145,-119.578,-21.1077,121.427,-2.96687
146,-119.093,-21.2518,120.974,-2.965
147,-118.607,-21.3959,120.521,-2.96312
148,-118.121,-21.54,120.069,-2.96122
149,-117.635,-21.6841,119.617,-2.9593
150,-117.149,-21.8282,119.165,-2.95738
151,-116.662,-21.9722,118.713,-2.95543
152,-116.176,-22.1162,118.262,-2.95347
153,-115.69,-22.2603,117.812,-2.9515
154,-115.203,-22.4043,117.361,-2.94951
155,-114.716,-22.5482,116.911,-2.94751
156,-114.23,-22.6922,116.462,-2.94549
157,-113.743,-22.8361,116.013,-2.94346
158,-113.256,-22.9801,115.564,-2.94141
159,-112.769,-23.124,115.115,-2.93934
160,-112.282,-23.2678,114.667,-2.93726
161,-111.795,-23.4117,114.22,-2.93516
162,-111.307,-23.5555,113.773,-2.93304
163,-110.82,-23.6993,113.326,-2.93091
164,-110.333,-23.8432,112.879,-2.92876
165,-109.845,-23.9869,112.433,-2.9266
166,-109.357,-24.1307,111.988,-2.92441
167,-108.869,-24.2744,111.543,-2.92221
168,-108.381,-24.4181,111.098,-2.91999
169,-107.893,-24.5618,110.654,-2.91776
170,-107.405,-24.7055,110.21,-2.9155
171,-106.917,-24.8491,109.766,-2.91323
172,-106.428,-24.9927,109.323,-2.91094
173,-105.94,-25.1362,108.881,-2.90863
174,-105.451,-25.2798,108.439,-2.9063
175,-104.962,-25.4233,107.997,-2.90396
176,-104.473,-25.5667,107.556,-2.90159
177,-103.984,-25.7102,107.115,-2.8992
178,-103.495,-25.8536,106.675,-2.8968
179,-103.006,-25.9969,106.236,-2.89437
180,-102.516,-26.1403,105.796,-2.89193
181,-102.027,-26.2836,105.358,-2.88946
182,-101.537,-26.4268,104.919,-2.88697
183,-101.047,-26.57,104.482,-2.88447
184,-100.557,-26.7132,104.044,-2.88194
185,-100.067,-26.8563,103.608,-2.87939
186,-99.5762,-26.9994,103.172,-2.87682
187,-99.0856,-27.1425,102.736,-2.87422
188,-98.595,-27.2855,102.301,-2.87161
189,-98.1041,-27.4285,101.866,-2.86897
190,-97.6131,-27.5714,101.432,-2.86631
191,-97.122,-27.7143,100.999,-2.86362
192,-96.6306,-27.8572,100.566,-2.86092
193,-96.1392,-27.9999,100.134,-2.85819
194,-95.6475,-28.1425,99.7018,-2.85544
195,-95.1557,-28.2851,99.2706,-2.85266
196,-94.6637,-28.4277,98.84,-2.84986
197,-94.1714,-28.5703,98.41,-2.84703
198,-93.6791,-28.7128,97.9806,-2.84418
199,-93.1864,-28.8553,97.5517,-2.84131
200,-92.6937,-28.9977,97.1236,-2.8384
201,-92.2007,-29.14,96.696,-2.83548
202,-91.7076,-29.2822,96.269,-2.83252
203,-91.2142,-29.4245,95.8427,-2.82955
204,-90.7206,-29.5666,95.417,-2.82654
205,-90.2268,-29.7087,94.992,-2.82351
206,-89.7328,-29.8507,94.5677,-2.82045
207,-89.2386,-29.9926,94.144,-2.81736
208,-88.7442,-30.1344,93.7209,-2.81424
209,-88.2495,-30.2762,93.2986,-2.8111
210,-87.7547,-30.4179,92.877,-2.80793
211,-87.2596,-30.5595,92.456,-2.80473
212,-86.7642,-30.701,92.0358,-2.8015
213,-86.2687,-30.8425,91.6163,-2.79824
214,-85.7728,-30.9838,91.1974,-2.79495
215,-85.2768,-31.1251,90.7794,-2.79163
216,-84.7805,-31.2663,90.3621,-2.78828
217,-84.2839,-31.4074,89.9455,-2.78489
218,-83.787,-31.5484,89.5297,-2.78148
219,-83.2899,-31.6892,89.1146,-2.77804
220,-82.7925,-31.83,88.7004,-2.77456
221,-82.2949,-31.9707,88.2869,-2.77105
222,-81.797,-32.1113,87.8742,-2.76751
223,-81.2988,-32.2518,87.4624,-2.76393
224,-80.8003,-32.3921,87.0513,-2.76032
225,-80.3015,-32.5323,86.6411,-2.75667
226,-79.8024,-32.6724,86.2317,-2.75299
227,-79.303,-32.8124,85.8232,-2.74928
228,-78.8033,-32.9523,85.4156,-2.74553
229,-78.3033,-33.092,85.0088,-2.74175
230,-77.803,-33.2316,84.6029,-2.73792
231,-77.3023,-33.371,84.1978,-2.73407
232,-76.8014,-33.5103,83.7937,-2.73017
233,-76.3,-33.6494,83.3905,-2.72624
234,-75.7984,-33.7884,82.9883,-2.72226
235,-75.2964,-33.9273,82.5869,-2.71825
236,-74.794,-34.066,82.1866,-2.7142
237,-74.2913,-34.2045,81.7872,-2.71011
238,-73.7882,-34.3428,81.3887,-2.70599
239,-73.2847,-34.481,80.9913,-2.70182
240,-72.7808,-34.619,80.5948,-2.6976
241,-72.2766,-34.7568,80.1994,-2.69335
242,-71.7719,-34.8945,79.805,-2.68906
243,-71.2669,-35.0319,79.4116,-2.68472
244,-70.7615,-35.1691,79.0193,-2.68034
245,-70.2556,-35.3061,78.628,-2.67592
246,-69.7493,-35.4429,78.2379,-2.67145
