step,x,y,r,phi
592,95.9517,30.8398,100.786,0.310981
593,96.2806,31.2323,101.22,0.313678
594,96.6094,31.6246,101.654,0.316352
595,96.9381,32.017,102.089,0.319003
596,97.2666,32.4093,102.524,0.321631
597,97.5949,32.8015,102.96,0.324237
598,97.9231,33.1937,103.396,0.326822
599,98.2511,33.5858,103.833,0.329384
600,98.579,33.9779,104.27,0.331925
601,98.9067,34.37,104.708,0.334445
602,99.2343,34.762,105.147,0.336944
603,99.5618,35.1539,105.586,0.339422
604,99.8891,35.5458,106.025,0.341879
605,100.216,35.9376,106.465,0.344316
606,100.543,36.3294,106.906,0.346733
607,100.87,36.7212,107.346,0.349131
608,101.197,37.1129,107.788,0.351508
609,101.524,37.5045,108.23,0.353867
610,101.85,37.8962,108.672,0.356206
611,102.177,38.2878,109.115,0.358526
612,102.503,38.6793,109.558,0.360828
613,102.829,39.0707,110.002,0.36311
614,103.155,39.4622,110.446,0.365375
615,103.481,39.8536,110.89,0.367621
616,103.807,40.2449,111.335,0.36985
617,104.133,40.6363,111.781,0.37206
618,104.458,41.0275,112.226,0.374253
619,104.784,41.4187,112.673,0.376429
620,105.109,41.8099,113.119,0.378587
621,105.434,42.2011,113.567,0.380729
622,105.76,42.5921,114.014,0.382854
623,106.085,42.9832,114.462,0.384962
624,106.41,43.3742,114.91,0.387054
625,106.735,43.7652,115.359,0.389129
626,107.06,44.1561,115.808,0.391188
627,107.384,44.547,116.258,0.393231
628,107.709,44.9378,116.707,0.395259
629,108.033,45.3286,117.158,0.39727
630,108.358,45.7194,117.608,0.399267
631,108.682,46.1101,118.059,0.401248
632,109.007,46.5009,118.511,0.403215
633,109.331,46.8915,118.962,0.405166
634,109.655,47.2822,119.414,0.407103
635,109.979,47.6728,119.867,0.409025
636,110.303,48.0633,120.32,0.410932
637,110.627,48.4539,120.773,0.412825
638,110.95,48.8444,121.226,0.414705
639,111.274,49.2348,121.68,0.416569
640,111.598,49.6253,122.134,0.41842
641,111.921,50.0156,122.589,0.420258
642,112.245,50.4059,123.043,0.422081
643,112.568,50.7963,123.499,0.423892
644,112.892,51.1866,123.954,0.425689
645,113.215,51.5769,124.41,0.427473
646,113.538,51.9671,124.866,0.429244
647,113.861,52.3573,125.322,0.431002
648,114.184,52.7475,125.779,0.432747
649,114.507,53.1376,126.236,0.434479
650,114.83,53.5277,126.693,0.4362
651,115.153,53.9178,127.151,0.437907
652,115.476,54.3078,127.609,0.439603
653,115.799,54.6978,128.067,0.441286
654,116.121,55.0878,128.526,0.442957
655,116.444,55.4778,128.985,0.444616
656,116.767,55.8677,129.444,0.446264
657,117.089,56.2575,129.903,0.4479
658,117.412,56.6475,130.363,0.449525
659,117.734,57.0373,130.823,0.451137
660,118.056,57.4272,131.283,0.452739
661,118.379,57.817,131.743,0.45433
662,118.701,58.2067,132.204,0.455909
663,119.023,58.5965,132.665,0.457478
664,119.345,58.9862,133.126,0.459036
665,119.667,59.3759,133.588,0.460583
666,119.989,59.7656,134.05,0.462119
667,120.311,60.1552,134.512,0.463645
668,120.633,60.5449,134.974,0.46516
669,120.955,60.9345,135.437,0.466665
670,121.277,61.324,135.9,0.468159
671,121.599,61.7136,136.363,0.469644
672,121.921,62.1031,136.826,0.471118
673,122.242,62.4926,137.29,0.472583
674,122.564,62.8821,137.754,0.474037
675,122.885,63.2715,138.218,0.475482
676,123.207,63.6609,138.682,0.476917
677,123.529,64.0503,139.146,0.478342
678,123.85,64.4396,139.611,0.479758
679,124.172,64.829,140.076,0.481165
680,124.493,65.2183,140.541,0.482562
681,124.814,65.6076,141.007,0.48395
682,125.136,65.9969,141.473,0.485329
683,125.457,66.3862,141.939,0.486699
684,125.778,66.7755,142.405,0.488061
685,126.099,67.1647,142.871,0.489412
686,126.42,67.5539,143.338,0.490756
687,126.742,67.9431,143.804,0.49209
688,127.063,68.3323,144.271,0.493416
689,127.384,68.7215,144.738,0.494734
690,127.705,69.1106,145.206,0.496043
691,128.026,69.4997,145.673,0.497343
692,128.346,69.8888,146.141,0.498635
693,128.667,70.2779,146.609,0.49992
694,128.988,70.6669,147.077,0.501195
695,129.309,71.0559,147.546,0.502463
696,129.63,71.445,148.014,0.503722
697,129.951,71.834,148.483,0.504974
698,130.271,72.2229,148.952,0.506218
699,130.592,72.6119,149.421,0.507454
700,130.913,73.0008,149.891,0.508681
701,131.233,73.3897,150.36,0.509902
702,131.554,73.7786,150.83,0.511115
703,131.875,74.1675,151.3,0.512321
704,132.195,74.5564,151.77,0.513519
705,132.516,74.9452,152.241,0.514709
706,132.836,75.3341,152.711,0.515893
707,133.157,75.7229,153.182,0.517069
708,133.477,76.1117,153.653,0.518237
709,133.797,76.5005,154.124,0.519399
710,134.118,76.8893,154.595,0.520553
711,134.438,77.278,155.066,0.521701
712,134.758,77.6668,155.538,0.522842
713,135.079,78.0555,156.009,0.523975
714,135.399,78.4443,156.481,0.525102
715,135.719,78.833,156.953,0.526222
716,136.039,79.2217,157.426,0.527336
717,136.36,79.6104,157.898,0.528443
718,136.68,79.9989,158.37,0.529542
719,137,80.3876,158.843,0.530636
720,137.32,80.7762,159.316,0.531723
721,137.64,81.1648,159.789,0.532803
722,137.96,81.5534,160.262,0.533878
723,138.28,81.942,160.735,0.534945
724,138.6,82.3305,161.209,0.536007
725,138.92,82.7191,161.683,0.537062
726,139.24,83.1076,162.156,0.538111
727,139.56,83.4961,162.63,0.539154
728,139.88,83.8846,163.104,0.540191
729,140.2,84.2732,163.579,0.541223
730,140.52,84.6617,164.053,0.542248
731,140.84,85.0501,164.528,0.543267
732,141.16,85.4386,165.002,0.54428
733,141.479,85.8271,165.477,0.545288
734,141.799,86.2155,165.952,0.54629
735,142.119,86.6039,166.427,0.547285
736,142.439,86.9923,166.902,0.548276
737,142.758,87.3807,167.378,0.54926
738,143.078,87.7691,167.853,0.55024
739,143.398,88.1575,168.329,0.551213
740,143.717,88.5459,168.805,0.552182
741,144.037,88.9342,169.281,0.553144
742,144.357,89.3225,169.757,0.554101
743,144.676,89.7108,170.233,0.555053
744,144.996,90.0991,170.709,0.555999
745,145.316,90.4874,171.186,0.556941
746,145.635,90.8757,171.662,0.557877
747,145.955,91.264,172.139,0.558808
748,146.274,91.6523,172.616,0.559734
749,146.594,92.0406,173.093,0.560654
750,146.913,92.4288,173.57,0.56157
751,147.233,92.817,174.047,0.56248
752,147.552,93.2052,174.525,0.563386
753,147.872,93.5934,175.002,0.564286
754,148.191,93.9816,175.48,0.565182
755,148.511,94.3698,175.958,0.566073
756,148.83,94.758,176.435,0.566959
757,149.149,95.1461,176.913,0.56784
758,149.469,95.5343,177.391,0.568716
759,149.788,95.9224,177.87,0.569588
760,150.107,96.3106,178.348,0.570455
761,150.427,96.6987,178.826,0.571318
762,150.746,97.0868,179.305,0.572176
763,151.065,97.475,179.784,0.573029
764,151.385,97.8631,180.262,0.573878
765,151.704,98.2512,180.741,0.574722
766,152.023,98.6392,181.22,0.575562
767,152.342,99.0273,181.699,0.576397
768,152.662,99.4154,182.178,0.577228
769,152.981,99.8034,182.658,0.578055
770,153.3,100.191,183.137,0.578877
771,153.619,100.58,183.617,0.579695
772,153.938,100.968,184.096,0.580509
773,154.258,101.356,184.576,0.581319
774,154.577,101.744,185.056,0.582124
775,154.896,102.132,185.536,0.582925
776,155.215,102.52,186.016,0.583722
777,155.534,102.908,186.496,0.584514
778,155.853,103.295,186.976,0.585303
779,156.172,103.683,187.457,0.586088
780,156.491,104.071,187.937,0.586869
781,156.81,104.46,188.418,0.587646
782,157.129,104.847,188.898,0.588419
783,157.448,105.235,189.379,0.589187
784,157.768,105.623,189.86,0.589952
785,158.086,106.011,190.341,0.590714
786,158.405,106.399,190.822,0.591471
787,158.724,106.787,191.303,0.592225
788,159.043,107.175,191.784,0.592974
789,159.362,107.563,192.266,0.59372
790,159.681,107.951,192.747,0.594463
791,160,108.339,193.229,0.595202
792,160.319,108.726,193.71,0.595936
793,160.638,109.114,194.192,0.596667
794,160.957,109.502,194.674,0.597395
795,161.276,109.89,195.156,0.598119
796,161.595,110.278,195.638,0.598839
797,161.914,110.666,196.12,0.599556
798,162.233,111.053,196.602,0.60027
799,162.551,111.441,197.084,0.60098
800,162.87,111.829,197.566,0.601686
801,163.189,112.217,198.049,0.602389
802,163.508,112.605,198.531,0.603089
803,163.827,112.993,199.014,0.603785
804,164.146,113.38,199.497,0.604477
805,164.464,113.768,199.979,0.605167
806,164.783,114.156,200.462,0.605853
807,165.102,114.544,200.945,0.606536
808,165.421,114.931,201.428,0.607215
809,165.739,115.319,201.911,0.607892
810,166.058,115.707,202.394,0.608565
811,166.377,116.095,202.878,0.609235
812,166.696,116.482,203.361,0.609902
813,167.015,116.87,203.844,0.610565
814,167.333,117.258,204.328,0.611225
815,167.652,117.646,204.811,0.611883
816,167.971,118.033,205.295,0.612537
817,168.289,118.421,205.779,0.613188
818,168.608,118.809,206.262,0.613836
819,168.927,119.196,206.746,0.614481
820,169.245,119.584,207.23,0.615123
821,169.564,119.972,207.714,0.615762
822,169.883,120.359,208.198,0.616398
823,170.201,120.747,208.682,0.617031
824,170.52,121.135,209.167,0.617661
825,170.839,121.522,209.651,0.618288
826,171.157,121.91,210.135,0.618913
827,171.476,122.298,210.62,0.619534
828,171.794,122.685,211.104,0.620153
829,172.113,123.073,211.589,0.620768
830,172.432,123.461,212.074,0.621381
831,172.75,123.848,212.558,0.621992
832,173.069,124.236,213.043,0.622599
833,173.387,124.624,213.528,0.623204
834,173.706,125.011,214.013,0.623805
835,174.025,125.399,214.498,0.624405
836,174.343,125.786,214.983,0.625001
837,174.662,126.174,215.468,0.625595
838,174.98,126.561,215.953,0.626187
839,175.299,126.949,216.439,0.626774
840,175.617,127.337,216.924,0.627361
841,175.936,127.724,217.409,0.627944
842,176.254,128.112,217.895,0.628525
843,176.573,128.499,218.381,0.629102
844,176.891,128.887,218.866,0.629679
845,177.21,129.274,219.352,0.630251
846,177.528,129.662,219.838,0.630822
847,177.847,130.05,220.323,0.631389
848,178.165,130.437,220.809,0.631955
849,178.484,130.825,221.295,0.632518
850,178.802,131.212,221.781,0.633078
851,179.121,131.6,222.267,0.633636
852,179.439,131.987,222.753,0.634192
853,179.758,132.375,223.239,0.634745
854,180.076,132.762,223.726,0.635296
855,180.394,133.15,224.212,0.635844
856,180.713,133.537,224.698,0.63639
857,181.031,133.925,225.185,0.636933
858,181.35,134.312,225.671,0.637475
859,181.668,134.7,226.158,0.638013
860,181.986,135.087,226.644,0.638551
861,182.305,135.475,227.131,0.639085
862,182.623,135.862,227.618,0.639617
863,182.942,136.25,228.104,0.640146
864,183.26,136.637,228.591,0.640675
865,183.578,137.025,229.078,0.641199
866,183.897,137.412,229.565,0.641723
867,184.215,137.8,230.052,0.642243
868,184.533,138.187,230.539,0.642763
869,184.852,138.575,231.026,0.643278
870,185.17,138.962,231.513,0.643793
871,185.489,139.35,232.001,0.644305
872,185.807,139.737,232.488,0.644815
873,186.125,140.124,232.975,0.645323
874,186.444,140.512,233.463,0.645828
875,186.762,140.899,233.95,0.646333
876,187.08,141.287,234.438,0.646834
877,187.398,141.674,234.925,0.647334
878,187.717,142.062,235.413,0.64783
879,188.035,142.449,235.9,0.648326
880,188.353,142.836,236.388,0.648819
881,188.672,143.224,236.876,0.64931
882,188.99,143.611,237.363,0.6498
883,189.308,143.999,237.851,0.650286
884,189.626,144.386,238.339,0.650773
885,189.945,144.773,238.827,0.651255
886,190.263,145.161,239.315,0.651736
887,190.581,145.548,239.803,0.652216
888,190.9,145.936,240.291,0.652692
889,191.218,146.323,240.779,0.653169
890,191.536,146.71,241.268,0.653641
891,191.854,147.098,241.756,0.654113
892,192.173,147.485,242.244,0.654583
893,192.491,147.872,242.732,0.65505
894,192.809,148.26,243.221,0.655518
895,193.128,148.647,243.709,0.65598
896,193.446,149.035,244.198,0.656443
897,193.764,149.422,244.686,0.656903
898,194.082,149.809,245.175,0.657361
899,194.4,150.197,245.663,0.657819
900,194.719,150.584,246.152,0.658273
901,195.037,150.971,246.641,0.658726
902,195.355,151.359,247.13,0.659178
903,195.673,151.746,247.618,0.659627
904,195.991,152.133,248.107,0.660075
905,196.31,152.521,248.596,0.660521
906,196.628,152.908,249.085,0.660965
907,196.946,153.296,249.574,0.661408
908,197.264,153.683,250.063,0.661848
909,197.582,154.07,250.552,0.662287
