elapsed_seconds,elapsed_days,earth_ssb_error_km,earth_heliocentric_error_km,saturn_ssb_error_km,saturn_heliocentric_error_km
89100,1.03125,5.17391663828789e-05,5.04792005188884e-05,0.00274013822554073,0.00273897647942922
181800,2.10416666666667,0.000223344210723572,0.000217581174324704,0.00761259910743307,0.00761715305516207
273600,3.16666666666667,0.000526870014181684,0.000512816145259106,0.0232309434830052,0.0232440195695895
366300,4.23958333333333,0.000986515497389467,0.000960026111481087,0.0261263004495075,0.0261242921690698
459000,5.3125,0.00161917338338858,0.0015765839228906,0.0538006620628745,0.0538391113281596
550800,6.375,0.00243175181422852,0.00237080714039981,0.0967125936085262,0.0967358556851352
643500,7.44791666666667,0.00345106413184252,0.00337116938407011,0.133151657914358,0.133179643309982
735300,8.51041666666667,0.00465713816979148,0.00456076574107337,0.148723118794349,0.148717361261666
827100,9.57291666666667,0.00604069128828518,0.00593341420666017,0.211233519311756,0.211186120313128
919800,10.6458333333333,0.00758074424934707,0.00747182289699848,0.169140222933172,0.169051681303077
1011600,11.7083333333333,0.00919067991517509,0.00909305691289018,0.289956433120138,0.289842156899552
1104300,12.78125,0.0108326557508541,0.010762747405311,0.263967317290556,0.263739622961621
1196100,13.84375,0.0124067939002135,0.0123826212975527,0.286464984866565,0.28617780520291
1288800,14.9166666666667,0.0138845717396325,0.0139257766399541,0.232716446235676,0.232387895159148
1380600,15.9791666666667,0.0151943401767443,0.0153183837388219,0.242116985002933,0.241818301017236
1472400,17.0416666666667,0.0163249722638778,0.0165473185571049,0.0983701155357938,0.0981315011939128
1565100,18.1145833333333,0.0172720681648339,0.0176050766250247,0.248973420919308,0.248836858982996
1656900,19.1770833333333,0.018016091561703,0.0184642721839433,0.194546728487937,0.194932570706594
1749600,20.25,0.0185807610962531,0.0191435856656292,0.224668328882378,0.22528098541906
1842300,21.3229166666667,0.0189702966233556,0.0196374642031941,0.215647708938139,0.216227476943348
1934100,22.3854166666667,0.0192053142198563,0.0199560904625418,0.344432177868045,0.345018690878387
2025900,23.4479166666667,0.0193146708632303,0.0201191839645836,0.264666633141732,0.264804533990388
2118600,24.5208333333333,0.0193266333218336,0.0201443396352982,0.434817033995164,0.435163789489145
2210400,25.5833333333333,0.0192732190508617,0.0200528363293725,0.539278935278767,0.539115291678487
2303100,26.65625,0.0191899547819577,0.0198696477589033,0.562922062195517,0.562397453805382
2394900,27.71875,0.0191191215294987,0.0196310662241073,0.427667057266815,0.426807785639155
2487600,28.7916666666667,0.019108577544917,0.0193769984372018,0.619866727140038,0.618778933877891
2579400,29.8541666666667,0.0192169392674017,0.0191722232480393,0.417133227505681,0.415814393424608
2672100,30.9270833333333,0.0195161332052104,0.0190940737045396,0.569687753121903,0.568256858995714
2763900,31.9895833333333,0.0200742530247756,0.0192434006658587,0.503914535901825,0.502724992116142
2856600,33.0625,0.0209689915336571,0.0197307682017521,0.484122935824087,0.483616792173264
2949300,34.1354166666667,0.0222362325711843,0.0206459988632971,0.188806622501547,0.189093494296039
3042000,35.2083333333333,0.0238689713958215,0.0220281259959944,0.376885700014015,0.377867840215324
3134700,36.28125,0.0258034681147235,0.0238438566098668,0.320132548851621,0.32209584206769
3226500,37.34375,0.0279019446579728,0.025966153976827,0.434091766205819,0.436160897599148
3319200,38.4166666666667,0.0300541492122262,0.0282828899441752,0.559411906294023,0.561146336366208
3411000,39.4791666666667,0.0320593275662737,0.0305799578943796,0.773670819473608,0.774605336991758
3506400,40.5833333333333,0.0338612836946434,0.0328059287976032,0.559283022160572,0.55912455906789
3598200,41.6458333333333,0.0352264543743555,0.0346775756981764,0.788318941270114,0.788394842986604
3690900,42.71875,0.0361963353446594,0.0362361010440538,0.697517403471035,0.696031985686366
3785400,43.8125,0.0367772231235461,0.0374716755020193,0.905012812768877,0.90331392782857
3878100,44.8854166666667,0.0370060611853643,0.0383670354158958,0.907415903138984,0.904813813704562
3969900,45.9479166666667,0.0369842630495501,0.038995746855561,0.911864891458911,0.908713955625325
4062600,47.0208333333333,0.0368074072005379,0.0394279882411271,0.468536032069389,0.465456737036714
4154400,48.0833333333333,0.036570692493003,0.0397060794073405,0.788854187206641,0.785754594752414
4247100,49.15625,0.0363479071949855,0.039871439068734,0.491178244998459,0.489618384376117
4338900,50.21875,0.0361996798931826,0.039938300166076,0.550601040059896,0.550403389575137
4431600,51.2916666666667,0.0361553667572527,0.0399076782647915,0.555370431604774,0.557979381632419
4523400,52.3541666666667,0.0362261633139934,0.0397681017812014,0.777441438683563,0.781425872981846
4622400,53.5,0.0364268572448102,0.0394795762780604,0.466035819790146,0.468757745276581
4709700,54.5104166666667,0.0367045471395922,0.0391009181959022,0.717499314806859,0.721385668095556
4796100,55.5104166666667,0.0370762275674098,0.0386271220361779,0.882816226907545,0.885007504407
4887900,56.5729166666667,0.0375993210301834,0.0380644056529613,0.976357037435368,0.9777767449662
4974300,57.5729166666667,0.0382550817058631,0.0375629557884097,1.04713831674029,1.04632464996566
5061600,58.5833333333333,0.0391400257501015,0.0372072950587978,1.3455679564176,1.34365752414116
5153400,59.6458333333333,0.0403871701476784,0.0371654587202338,0.961394889937712,0.956872367533052
5245200,60.7083333333333,0.0420256845759475,0.0376480835316887,0.984037595339587,0.980130294789648
5331600,61.7083333333333,0.0439509285773154,0.0387132032694571,1.14764340695742,1.14210148784916
5430600,62.8541666666667,0.0465733329631073,0.0407198080649332,1.10410077737312,1.09824482300125
5536800,64.0833333333333,0.0497189035705352,0.0436995889011181,0.782792899915629,0.777710577216368
5636700,65.2395833333333,0.0527295536136637,0.0470151756500787,0.966667959598556,0.965030796455229
5734800,66.375,0.0554265186554683,0.0504048729298704,0.41968514304923,0.424488010825938
5833800,67.5208333333333,0.057584987167809,0.05360445693099,0.691596181525256,0.694984317812954
5926500,68.59375,0.0588780422529091,0.0561349627556641,0.680961407458983,0.687737220573952
6022800,69.7083333333333,0.059356079238167,0.0581149468675842,1.03241671349338,1.03895788807719
6120900,70.84375,0.0589391963756307,0.0593938493416082,0.922196147701601,0.927445073331823
6214500,71.9270833333333,0.0578071549283592,0.0599696546901886,1.45575512378473,1.45849551312773
6300900,72.9270833333333,0.0562985703786142,0.0600486648511193,0.909808921135859,0.908582892394791
6398100,74.0520833333333,0.0543246490482935,0.0597795621140751,1.36182782934782,1.36113054468889
6496200,75.1875,0.0523417283315089,0.0593057149656261,1.55781981280377,1.55417046538072
6588000,76.25,0.0507711027457787,0.0588238588682526,1.63871533860226,1.63162391959591
6681600,77.3333333333333,0.0496812348019323,0.0583928628105359,1.21556051143025,1.20750646288375
6778800,78.4583333333333,0.0492545617002987,0.0580565406946191,1.49423269131017,1.48543010126781
6880500,79.6354166666667,0.049634638356324,0.0578164305811344,0.807181371052323,0.798304529359825
6970500,80.6770833333333,0.0506261429775731,0.0576533994067817,1.01737055803925,1.01001617052695
7066800,81.7916666666667,0.0522481363407309,0.0574706345172533,0.98212093249883,0.979274995954038
7153200,82.7916666666667,0.0540772714061097,0.0572636950321315,1.09544959476251,1.10229968725959
7245000,83.8541666666667,0.0562976700777091,0.0570021071180748,0.59884874829333,0.607051777419001
7343100,84.9895833333333,0.0589000854577954,0.0567469662984105,1.15511103885534,1.16557805568569
