elapsed_seconds,elapsed_days,earth_ssb_error_km,earth_heliocentric_error_km,saturn_ssb_error_km,saturn_heliocentric_error_km
90000,1.04166666666667,993.663549415912,993.668866121166,11.7181360073058,11.731286510056
183600,2.125,2027.80291264413,2027.81375621991,23.9050126313583,23.9318395658944
273600,3.16666666666667,3023.56240483315,3023.57855618858,35.6231853402169,35.6631590540667
367200,4.25,4061.3279344247,4061.34959425836,47.810120832363,47.8637584627257
460800,5.33333333333333,5102.04299618862,5102.07014750056,59.9971035574499,60.0643887200428
550800,6.375,6106.1933371021,6106.22574779396,71.7154101935984,71.795794111618
644400,7.45833333333333,7154.81009812561,7154.84795216879,83.9025144468388,83.9964851661684
734400,8.5,8167.88407943634,8167.9271381475,95.6209594934238,95.7279485838399
828000,9.58333333333333,9227.13743889432,9227.18587645402,107.808228605843,107.928696570312
921600,10.6666666666667,10292.834916764,10292.8886957665,119.995598619321,120.129469633848
1011600,11.7083333333333,11324.246402383,11324.3052803804,131.714331172233,131.861004003375
1105200,12.7916666666667,12404.5198627959,12404.5840043862,143.901935215177,144.061817724485
1195200,13.8333333333333,13451.1435755817,13451.2127405993,155.620913229909,155.793382009553
1288800,14.9166666666667,14548.4450102026,14548.5193614634,167.808793213812,167.994215666881
1382400,16,15655.3201120079,15655.3996128144,179.996834787818,180.195055618424
1472400,17.0416666666667,16729.1841678164,16729.2685885703,191.716252687517,191.926617400682
1566000,18.125,17856.4752948457,17856.5648037767,203.904641633825,204.127450410598
1656000,19.1666666666667,18950.9564066316,18951.050785603,215.624444686289,215.85902448079
1749600,20.25,20100.6633372852,20100.7627641445,227.813226545696,228.059830118186
1843200,21.3333333333333,21262.500453598,21262.6049186101,240.002225362433,240.260613384012
1933200,22.375,22391.4994231563,22391.6087315536,251.722628500466,251.992106947476
2026800,23.4583333333333,23578.3779056509,23578.4922597076,263.912078928229,264.192825665089
2116800,24.5,24732.190569859,24732.3097937801,275.632937830235,275.924249322452
2210400,25.5833333333333,25945.5896350081,25945.7139542396,287.822886694087,288.124890468631
2304000,26.6666666666667,27173.0127534035,27173.1422120991,300.013108326714,300.325489704286
2394000,27.7083333333333,28366.7365601361,28366.8710153695,311.734739619067,312.056790368633
2487600,28.7916666666667,29622.5277320351,29622.6674552896,323.925522791995,324.257296728832
2577600,29.8333333333333,30844.0169866354,30844.1618590426,335.647717112442,335.988509527797
2671200,30.9166666666667,32129.1392632147,32129.2895945076,347.839108984977,348.188927671671
2764800,32,33429.5156796457,33429.6715938249,360.030826291917,360.389303572652
2854800,33.0416666666667,34694.4160760244,34694.5774934632,371.753950212333,372.120400641909
2948400,34.125,36025.1644217656,36025.3317234155,383.946339398079,384.320710508975
3038400,35.1666666666667,37319.49360246,37319.6667371803,395.670130486497,396.051759271535
3132000,36.25,38681.0259521179,38681.2053587104,407.863238403606,408.252042663289
3225600,37.3333333333333,40058.3410522624,40058.5269658394,420.056727195873,420.452330403282
3315600,38.375,41397.5895060881,41397.7819242531,431.78160784077,432.183399502928
3409200,39.4583333333333,42805.91062149,42806.1100917222,443.975880248337,444.383755386026
3502800,40.5416666666667,44230.014978686,44230.2218268124,456.1705678497,456.584181127575
3592800,41.5833333333333,45614.1877288687,45614.4020122275,467.896628704786,468.315451447731
3686400,42.6666666666667,47069.0966914815,47069.3191008283,480.092162751515,480.516107096857
3776400,43.7083333333333,48482.7422000401,48482.9728411544,491.819063188544,492.247675011149
3870000,44.7916666666667,49968.1070651441,49968.3467488408,504.01549102418,504.448724859152
3963600,45.875,51468.8105071294,51469.0597764779,516.212389166072,516.650051707456
4053600,46.9166666666667,52926.1138230738,52926.37287552,527.940627023,528.382413304224
4147200,48,54456.4282126394,54456.6980898799,540.138476575455,540.584469104509
4251600,49.2083333333333,56180.7786802886,56181.0614980112,553.744366520465,554.195034628569
4356000,50.4166666666667,57923.2436278129,57923.5404019319,567.350898994877,567.806329363683
4449600,51.5,59500.5755964769,59500.8858407355,579.550421833499,580.010294221322
4539600,52.5416666666667,61030.4675306888,61030.791665607,591.281245628113,591.745634913749
4626000,53.5416666666667,62511.1272452871,62511.465657745,602.543318890346,603.012355042942
4719600,54.625,64128.1242915007,64128.479299707,614.744439727725,615.218950964695
4809600,55.6666666666667,65695.3451711466,65695.7173280108,626.476828891593,626.95713250022
4903200,56.75,67337.850478573,67338.2417951145,638.679090489489,639.166067211078
